Players,Clubs,Nationality,CS,Pld,%
Unai Simon,Spain,Spain,7,8,87.50%
Raul Rangel,Mexico,Mexico,4,5,80.00%
Camilo Vargas,Colombia,Colombia,4,5,80.00%
Mike Maignan,France,France,4,8,50.00%
Josimar Vozinha,Cape Verde,Cape Verde,2,4,50.00%
Patrick Beach,Australia,Australia,2,4,50.00%
Matt Freese,United States,United States,2,4,50.00%
Yahia Fofana,Ivory Coast,France,2,4,50.00%
Alisson,Brazil,Brazil,2,5,40.00%
Orlando Gill,Paraguay,Paraguay,2,5,40.00%
Maxime Crepeau,Canada,Canada,2,5,40.00%
Diogo Costa,Portugal,Portugal,2,5,40.00%
Yassine Bounou,Morocco,Morocco,2,6,33.33%
Gregor Kobel,Switzerland,Switzerland,2,6,33.33%
Jordan Pickford,England,England,2,7,28.57%
Emiliano Martinez,Argentina,Argentina,2,8,25.00%
Benjamin Asare,Ghana,Ghana,1,2,50.00%
Lawrence Ati-Zigi,Ghana,Ghana,1,2,50.00%
Mory Diaw,Senegal,Senegal,1,2,50.00%
Eloy Room,Curacao,Curacao,1,3,33.33%
Angus Gunn,Scotland,Scotland,1,3,33.33%
Mohammed Al-Owais,Saudi Arabia,Saudi Arabia,1,3,33.33%
Alireza Beiranvand,Iran,Iran,1,3,33.33%
Zion Suzuki,Japan,Japan,1,4,25.00%
Dominik Livakovic,Croatia,Croatia,1,4,25.00%
Ronwen Williams,South Africa,South Africa,1,4,25.00%
Hernan Galindez,Ecuador,Ecuador,1,4,25.00%
Thibaut Courtois,Belgium,Belgium,1,6,16.67%
Oussama Benbot,Algeria,Algeria,0,1,0.00%
Dean Henderson,England,England,0,1,0.00%
Moulib Chamakh,Tunisia,Tunisia,0,1,0.00%
Egil Selvik,Norway,Norway,0,1,0.00%
Matt Turner,United States,United States,0,1,0.00%
Utkir Yusupov,Uzbekistan,Uzbekistan,0,1,0.00%
Jalal Hassan,Iraq,Iraq,0,1,0.00%
Edouard Mendy,Senegal,Senegal,0,2,0.00%
Jacob Widell Zetterstrom,Sweden,Sweden,0,2,0.00%
Aymen Dahmen,Tunisia,Tunisia,0,2,0.00%
Kristoffer Nordfeldt,Sweden,Sweden,0,2,0.00%
Abduvohid Nematov,Uzbekistan,Uzbekistan,0,2,0.00%
Ahmed Basil,Iraq,Iraq,0,2,0.00%
Fernando Muslera,Uruguay,Uruguay,0,3,0.00%
Orlando Mosquera,Panama,Panama,0,3,0.00%
Seung-Gyu Kim,South Korea,South Korea,0,3,0.00%
Matej Kovar,Czech Republic,Czech Republic,0,3,0.00%
Max Crocombe,New Zealand,New Zealand,0,3,0.00%
Luca Zidane,Algeria,Algeria,0,3,0.00%
Ugurcan Cakır,Turkey,Turkey,0,3,0.00%
Yazeed Abulaila,Jordan,Jordan,0,3,0.00%
Johny Placide,Haiti,Haiti,0,3,0.00%
Mahmud Abunada,Qatar,Qatar,0,3,0.00%
Lionel Mpasi,DR Congo (Zaire),Democratic Republic of Congo,0,4,0.00%
Alexander Schlager,Austria,Austria,0,4,0.00%
Manuel Neuer,Germany,Germany,0,4,0.00%
Bart Varbruggen,Netherlands,Netherlands,0,4,0.00%
Nikola Vasilj,Bosnia and Herzegovina,Bosnia and Herzegovina,0,4,0.00%
Orjan Nyland,Norway,Norway,0,5,0.00%
Mostafa Shobeir,Egypt,Egypt,0,5,0.00%
