Clubs,Goals,Open Play,Cross,Free Kick,Direct Free Kick,Throw In,Penalty,Corner,Other
France,20,17,1,-,-,-,1,1,-
England,20,9,4,-,-,-,3,4,-
Argentina,18,9,3,-,2,-,1,3,-
Spain,13,8,3,-,-,-,1,1,-
Belgium,13,6,5,-,-,-,1,1,-
Norway,12,9,2,-,-,-,-,1,-
Germany,11,7,2,-,-,-,1,1,-
Brazil,10,7,2,-,-,-,1,-,-
Morocco,10,7,1,1,-,-,-,1,-
Switzerland,10,7,1,-,-,-,2,-,-
Netherlands,10,4,4,1,-,-,-,1,-
Mexico,10,7,1,1,-,-,1,-,-
Senegal,10,9,-,-,-,-,-,1,-
United States,9,5,-,1,2,-,-,1,-
Canada,8,6,-,-,1,-,-,1,-
Egypt,8,4,1,1,-,-,-,2,-
Japan,8,6,1,-,-,-,-,1,-
Portugal,7,2,3,-,1,-,1,-,-
Sweden,7,6,-,1,-,-,-,-,-
Croatia,6,4,1,-,-,-,-,1,-
Colombia,5,3,2,-,-,-,-,-,-
Austria,5,4,-,-,-,-,1,-,-
DR Congo (Zaire),5,3,-,-,-,-,1,1,-
Ivory Coast,5,5,-,-,-,-,-,-,-
Algeria,5,3,-,-,-,-,-,2,-
Cape Verde,4,3,-,-,1,-,-,-,-
Bosnia and Herzegovina,4,1,-,-,-,-,-,3,-
New Zealand,4,2,-,-,-,-,-,2,-
Iran,3,2,1,-,-,-,-,-,-
Paraguay,3,1,-,1,-,-,-,1,-
Jordan,3,2,1,-,-,-,-,-,-
Uruguay,3,3,-,-,-,-,-,-,-
Turkey,3,3,-,-,-,-,-,-,-
Tunisia,2,-,1,-,-,-,-,1,-
Uzbekistan,2,2,-,-,-,-,-,-,-
Australia,2,2,-,-,-,-,-,-,-
South Africa,2,1,-,-,-,-,1,-,-
Ghana,2,1,-,1,-,-,-,-,-
South Korea,2,2,-,-,-,-,-,-,-
Ecuador,2,1,-,-,-,-,-,1,-
Czech Republic,2,1,-,-,-,1,-,-,-
Scotland,1,1,-,-,-,-,-,-,-
Curacao,1,1,-,-,-,-,-,-,-
Haiti,1,1,-,-,-,-,-,-,-
Iraq,1,-,1,-,-,-,-,-,-
Saudi Arabia,1,-,-,-,-,-,-,1,-
Qatar,1,1,-,-,-,-,-,-,-
