Goals Against,Clubs,FH,SH,F15,L10,Pld
1,Spain,1,-,-,-,8
1,Colombia,-,1,-,-,5
3,Iran,2,1,2,-,3
3,Ghana,2,1,1,1,4
3,Portugal,1,2,-,1,5
3,Mexico,2,1,-,-,5
3,South Korea,-,3,-,-,3
3,Australia,3,-,2,-,4
4,Uruguay,3,1,-,-,3
4,South Africa,2,2,2,1,4
4,Ecuador,3,1,1,1,4
4,Ivory Coast,1,3,-,2,4
4,Panama,-,4,-,1,3
4,Brazil,2,2,-,1,5
4,Scotland,3,1,2,-,3
5,Netherlands,-,5,-,2,4
5,Cape Verde,3,2,-,2,4
5,DR Congo (Zaire),2,3,2,1,4
5,Saudi Arabia,3,2,1,1,3
5,Japan,-,5,-,1,4
5,Germany,4,1,1,-,4
5,Turkey,3,2,2,-,3
6,Paraguay,3,3,1,1,5
6,Switzerland,1,5,1,4,6
6,Czech Republic,-,6,-,3,3
6,Canada,1,5,-,2,5
6,Morocco,3,3,1,-,6
7,Egypt,2,5,2,2,5
7,Belgium,4,3,-,2,6
7,Croatia,2,5,1,2,4
8,Haiti,6,2,-,1,3
8,Jordan,3,5,-,3,3
8,Bosnia and Herzegovina,2,6,-,4,4
8,Argentina,1,7,1,2,8
8,United States,4,4,2,2,5
9,Austria,3,6,-,3,4
9,Curacao,4,5,2,1,3
9,Senegal,1,8,-,5,4
9,Algeria,4,5,1,1,4
10,New Zealand,2,8,-,3,3
10,Qatar,6,4,-,2,3
10,Sweden,4,6,1,1,4
10,France,6,4,1,3,8
11,Uzbekistan,4,7,1,3,3
11,Norway,5,6,1,4,6
12,England,5,7,1,3,8
12,Iraq,4,8,2,2,3
12,Tunisia,6,6,4,3,3
