Goals For,Clubs,FH,SH,F15,L10,Pld
20,England,9,11,2,5,8
20,France,5,15,2,4,8
19,Argentina,6,13,1,10,8
14,Spain,7,7,1,4,8
14,Belgium,4,10,1,6,6
13,Norway,6,7,-,3,6
11,Germany,4,7,2,2,4
11,Netherlands,4,7,3,1,4
11,United States,8,3,3,2,5
10,Senegal,2,8,1,3,4
10,Brazil,6,4,1,2,5
10,Mexico,4,6,1,1,5
10,Switzerland,2,8,1,3,6
10,Morocco,4,6,1,4,6
9,Canada,3,6,-,2,5
8,Japan,3,5,1,2,4
8,Portugal,4,4,2,2,5
8,Egypt,4,4,3,1,5
7,Sweden,2,5,1,2,4
6,Austria,2,4,-,2,4
6,Croatia,3,3,-,1,4
5,DR Congo (Zaire),2,3,1,1,4
5,Algeria,1,4,-,2,4
5,Colombia,2,3,1,1,5
5,Ivory Coast,2,3,1,1,4
5,Bosnia and Herzegovina,3,2,-,2,4
4,Cape Verde,1,3,-,1,4
4,New Zealand,2,2,2,1,3
3,Australia,1,2,-,-,4
3,Turkey,2,1,1,1,3
3,Uruguay,2,1,-,1,3
3,Jordan,1,2,-,-,3
3,Iran,2,1,1,-,3
3,Paraguay,2,1,1,-,5
2,Ghana,-,2,-,1,4
2,Tunisia,1,1,-,-,3
2,Qatar,1,1,-,1,3
2,Ecuador,1,1,1,-,4
2,Czech Republic,1,1,1,-,3
2,South Africa,-,2,-,1,4
2,Uzbekistan,1,1,1,-,3
2,South Korea,-,2,-,1,3
2,Haiti,2,-,1,-,3
1,Curacao,1,-,-,-,3
1,Iraq,1,-,-,-,3
1,Scotland,1,-,-,-,3
1,Saudi Arabia,1,-,-,-,3
0,Panama,-,-,-,-,3
